service_type,pickup_day_of_week_num,pickup_day_name,pickup_hour,time_of_day_bucket,trip_count,avg_fare_amount,avg_total_amount,avg_tip_percentage,avg_revenue_per_mile,avg_trip_distance,avg_trip_duration_minutes,fare_index,total_amount_index,fare_pattern_bucket
yellow,5,Friday,13,afternoon,333732,20.41,28.86,17.46,15.11,5.73,19.35,101.96,100.08,average
yellow,5,Friday,14,afternoon,376344,21.43,30.09,17.29,15.26,6.76,21.16,107.06,104.34,above_average
yellow,5,Friday,15,afternoon,396421,21.32,29.86,17.21,18.12,5.99,21.51,106.51,103.54,above_average
yellow,5,Friday,16,afternoon,368720,21.19,32.42,21.85,67.37,4.72,21.16,105.86,112.42,above_average
yellow,5,Friday,17,evening,405589,19.83,30.67,21.38,74.05,5.18,18.97,99.06,106.35,average
yellow,5,Friday,18,evening,431179,18.38,28.86,20.9,82.13,7.64,17.04,91.82,100.08,below_average
yellow,5,Friday,19,evening,402641,18.52,28.72,19.76,64.0,5.41,16.53,92.52,99.59,below_average
yellow,5,Friday,20,evening,373095,18.95,27.71,17.4,14.3,4.65,16.46,94.67,96.09,below_average
yellow,5,Friday,21,evening,372988,19.0,27.91,18.3,14.15,4.56,16.52,94.92,96.78,below_average
yellow,5,Friday,22,night,406163,19.43,28.11,18.88,14.1,5.05,16.84,97.07,97.47,average
yellow,5,Friday,23,night,403715,19.43,27.62,15.19,13.72,6.2,16.3,97.07,95.78,average
yellow,6,Saturday,0,night,357611,18.78,26.57,14.28,13.84,6.63,15.2,93.82,92.13,below_average
yellow,6,Saturday,1,night,277386,17.4,24.84,14.18,14.17,4.46,13.9,86.92,86.14,below_average
yellow,6,Saturday,2,night,199071,16.85,24.14,14.15,13.58,5.78,13.37,84.18,83.71,below_average
yellow,6,Saturday,3,night,131084,17.38,24.53,13.32,13.46,5.84,13.44,86.82,85.06,below_average
yellow,6,Saturday,4,night,80270,20.39,27.49,10.98,13.28,9.51,14.64,101.86,95.32,average
yellow,6,Saturday,5,morning,42605,25.4,33.34,9.49,12.11,20.14,16.47,126.89,115.61,high
yellow,6,Saturday,6,morning,59806,23.7,31.21,10.59,11.47,25.68,15.46,118.4,108.22,above_average
yellow,6,Saturday,7,morning,85132,21.99,29.7,14.76,11.31,17.02,15.41,109.85,102.99,above_average
yellow,6,Saturday,8,morning,131915,19.23,26.77,15.53,12.04,10.44,14.48,96.07,92.83,average
yellow,6,Saturday,9,morning,197287,17.74,25.24,16.81,12.4,9.19,14.28,88.62,87.52,below_average
yellow,6,Saturday,10,morning,253045,17.47,25.16,17.67,12.84,8.18,14.65,87.27,87.25,below_average
yellow,6,Saturday,11,morning,296058,17.73,25.43,17.66,13.73,5.45,15.59,88.57,88.18,below_average
yellow,6,Saturday,12,afternoon,330927,18.36,26.14,17.45,14.23,5.16,16.46,91.72,90.64,below_average
yellow,6,Saturday,13,afternoon,354652,19.09,27.03,17.37,15.07,8.02,17.31,95.37,93.73,average
yellow,6,Saturday,14,afternoon,358738,20.13,28.35,17.28,14.59,5.71,18.23,100.56,98.31,average
yellow,6,Saturday,15,afternoon,375110,20.35,28.56,17.28,14.83,5.5,18.69,101.66,99.04,average
yellow,6,Saturday,16,afternoon,398767,20.28,28.45,17.24,15.02,5.59,18.82,101.31,98.65,average
yellow,6,Saturday,17,evening,418506,19.87,27.76,16.65,15.12,5.92,18.4,99.26,96.26,average
yellow,6,Saturday,18,evening,444969,19.41,27.03,15.99,15.11,6.58,17.94,96.97,93.73,average
yellow,6,Saturday,19,evening,436742,19.28,26.71,15.9,15.33,5.53,17.55,96.32,92.62,average
yellow,6,Saturday,20,evening,373537,19.31,27.54,16.18,14.77,7.11,17.09,96.47,95.5,average
yellow,6,Saturday,21,evening,375468,19.11,27.51,16.99,14.51,5.21,16.81,95.47,95.39,average
yellow,6,Saturday,22,night,424554,19.35,27.56,16.15,14.07,6.28,17.01,96.67,95.57,average
yellow,6,Saturday,23,night,435358,19.99,27.82,14.35,14.19,5.11,16.42,99.86,96.47,average
