Trip Date,Trip Year,Trip Month,Day Name,Is Weekend,Service Type,Pickup Borough,Trip Count,Total Revenue,Total Fare Amount,Total Tip Amount,Avg Revenue Per Trip,Avg Fare Amount,Avg Tip Percentage,Avg Revenue Per Mile,Avg Trip Distance,Avg Trip Duration Minutes,Revenue Per Trip
2025-01-30,2025,1,Thursday,false,yellow,Queens,8342,586075.12,423689.2,68797.33,70.26,50.79,15.8,14.02,12.0,37.33,70.26
2025-01-30,2025,1,Thursday,false,yellow,Staten Island,5,182.7,118.18,0.0,36.54,23.64,0.0,6.01,7.78,21.6,36.54
2025-01-30,2025,1,Thursday,false,yellow,Unknown,303,9523.31,6623.99,1188.01,31.43,21.86,21.11,20.82,3.77,17.15,31.43
2025-01-31,2025,1,Friday,false,green,Bronx,12,375.32,318.9,19.73,31.28,26.58,6.94,52.98,5.79,22.25,31.28
2025-01-31,2025,1,Friday,false,green,Brooklyn,212,5710.09,4443.37,606.22,26.93,20.96,16.95,16.08,3.13,24.25,26.93
2025-01-31,2025,1,Friday,false,green,Manhattan,1077,23280.78,16189.58,2795.69,21.62,15.03,18.1,12.19,2.42,20.61,21.62
2025-01-31,2025,1,Friday,false,green,Queens,322,7274.56,5563.32,630.47,22.59,17.28,13.43,11.27,2.96,22.43,22.59
2025-01-31,2025,1,Friday,false,green,Unknown,2,24.92,18.6,1.32,12.46,9.3,6.17,10.79,1.15,8.0,12.46
2025-01-31,2025,1,Friday,false,yellow,Bronx,633,21683.4,19695.21,74.92,34.25,31.11,0.41,13.7,7.48,34.08,34.25
2025-01-31,2025,1,Friday,false,yellow,Brooklyn,2501,75086.63,67374.99,1367.63,30.02,26.94,3.06,49.43,9.75,28.67,30.02
2025-01-31,2025,1,Friday,false,yellow,Manhattan,109011,2513847.69,1621904.58,286618.2,23.06,14.88,19.77,30.35,4.91,13.74,23.06
2025-01-31,2025,1,Friday,false,yellow,Queens,8440,582072.71,421732.83,68767.59,68.97,49.97,15.52,18.05,11.79,36.51,68.97
2025-01-31,2025,1,Friday,false,yellow,Staten Island,5,138.16,93.71,0.0,27.63,18.74,0.0,5.17,6.49,14.2,27.63
2025-01-31,2025,1,Friday,false,yellow,Unknown,308,9552.37,6472.36,1202.19,31.01,21.01,22.06,14.88,112.76,16.16,31.01
2025-02-01,2025,2,Saturday,true,green,Bronx,10,135.97,113.3,1.67,13.6,11.33,2.87,9.68,1.49,10.2,13.6
2025-02-01,2025,2,Saturday,true,green,Brooklyn,296,7916.07,6228.65,971.35,26.74,21.04,17.16,38.09,3.29,25.13,26.74
2025-02-01,2025,2,Saturday,true,green,Manhattan,779,15749.13,11364.13,1889.9,20.22,14.59,16.39,11.07,2.43,22.96,20.22
2025-02-01,2025,2,Saturday,true,green,Queens,353,7684.01,6289.35,600.65,21.77,17.82,12.02,10.16,3.2,28.6,21.77
